Method,Basis set,ZPE,H(T)-H(0),S(T),Source
B1B95,"6-31+G(d,p)",0.976,0.9838,0.9874,10.1021/jp073974n
B1B95,"6-31G(2df,p)",0.9762,0.9714,0.9767,10.1021/jp073974n
B1B95,6-31G(d),0.9716,0.9788,0.9816,10.1021/jp073974n
B1LYP,"6-31+G(d,p)",0.9805,0.9977,1.0011,10.1021/jp073974n
B1LYP,"6-311+G(2df,p)",0.984,0.986,0.9906,10.1021/jp073974n
B1LYP,"6-311+G(d,p)",0.9838,1.0017,1.0074,10.1021/jp073974n
B1LYP,"6-31G(2df,p)",0.9802,0.983,0.9869,10.1021/jp073974n
B1LYP,6-31G(d),0.976,0.992,0.9947,10.1021/jp073974n
B2GP-PLYP,pc-0,0.9698,0.9912,0.9656,10.1002/jcc.23073
B2GP-PLYP,pc-1,0.9669,1.04,1.043,10.1002/jcc.23073
B2GP-PLYP,pc-2,0.9705,1.042,1.042,10.1002/jcc.23073
B2GP-PLYP,pc-3,0.9726,1.045,1.046,10.1002/jcc.23073
B2GP-PLYP,pc-4,0.9722,1.049,1.053,10.1002/jcc.23073
B2PLYP-D3,cc-pVTZ,0.983,0.9924,0.9965,10.1021/acs.jctc.6b00554
B3LYP,6-31+G(d),0.9829,1.0053,1.008,10.1021/jp073974n
B3LYP,"6-31+G(d,p)",0.9857,1.0062,1.0099,10.1021/jp073974n
B3LYP,"6-311++G(3df,3pd)",0.9876,0.9904,0.995,10.1021/jp073974n
B3LYP,"6-311+G(2d,p)",0.9898,1.004,1.0094,10.1021/jp073974n
B3LYP,"6-311+G(2df,p)",0.9889,0.9938,0.9984,10.1021/jp073974n
B3LYP,"6-311+G(3d,p)",0.9891,0.9991,1.0041,10.1021/jp073974n
B3LYP,"6-311+G(3df,2p)",0.9877,0.9915,0.9963,10.1021/jp073974n
B3LYP,"6-311+G(3df,3pd)",0.9876,0.9904,0.995,10.1021/jp073974n
B3LYP,"6-311+G(3df,p)",0.9883,0.9919,0.997,10.1021/jp073974n
B3LYP,6-311+G(d),0.9882,1.0124,1.0174,10.1021/jp073974n
B3LYP,"6-311+G(d,p)",0.9887,1.0102,1.0161,10.1021/jp073974n
B3LYP,6-311G(d),0.9882,1.009,1.0123,10.1021/jp073974n
B3LYP,"6-311G(d,p)",0.9888,1.0062,1.0104,10.1021/jp073974n
B3LYP,"6-31G(2df,p)",0.9853,0.9909,0.9946,10.1021/jp073974n
B3LYP,6-31G(d),0.9813,1.0004,1.0029,10.1021/jp073974n
B3LYP,"6-31G(d,p)",0.9838,1.0003,1.0033,10.1021/jp073974n
B3LYP,aug-cc-pVDZ,0.9787,0.9789,0.9486,10.1021/jp048233q
B3LYP,aug-cc-pVQZ,0.9884,0.9859,0.9673,10.1021/jp048233q
B3LYP,aug-cc-pVTZ,0.9867,0.9867,0.9538,10.1021/jp048233q
B3LYP,cc-pVDZ,0.9689,0.9784,0.9475,10.1021/jp048233q
B3LYP,cc-pVQZ,0.9854,0.9872,0.9586,10.1021/jp048233q
B3LYP,cc-pVTZ,0.9764,0.9854,0.9576,10.1021/jp048233q
B3LYP,cc-pVTZ+d,0.9886,0.9926,0.997,10.1021/acs.jctc.6b00554
B3LYP,pc-0,0.987,0.9687,0.9438,10.1002/jcc.23073
B3LYP,pc-1,0.988,1.014,1.015,10.1002/jcc.23073
B3LYP,pc-2,0.9869,1.017,1.015,10.1002/jcc.23073
B3LYP,pc-3,0.9876,1.017,1.015,10.1002/jcc.23073
B3LYP,pc-4,0.9877,1.017,1.015,10.1002/jcc.23073
B3LYP,TZV2P,0.9873,1.0058,1.0104,10.1021/jp073974n
B3P86,"6-31+G(d,p)",0.9809,0.9927,0.9974,10.1021/jp073974n
B3P86,"6-311+G(2df,p)",0.9852,0.9811,0.9867,10.1021/jp073974n
B3P86,"6-311+G(d,p)",0.9845,0.9963,1.003,10.1021/jp073974n
B3P86,"6-31G(2df,p)",0.9814,0.9795,0.9846,10.1021/jp073974n
B3P86,6-31G(d),0.9768,0.9881,0.9919,10.1021/jp073974n
B3P86,pc-0,0.9801,0.9794,0.9558,10.1002/jcc.23073
B3P86,pc-1,0.9819,1.03,1.032,10.1002/jcc.23073
B3P86,pc-2,0.9834,1.03,1.028,10.1002/jcc.23073
B3P86,pc-3,0.9844,1.03,1.028,10.1002/jcc.23073
B3P86,pc-4,0.9845,1.03,1.029,10.1002/jcc.23073
B3-P86,6-31G(d),0.9759,0.9864,0.9902,10.1021/jp960976r
B3PW91,"6-31+G(d,p)",0.9819,0.9947,0.9994,10.1021/jp073974n
B3PW91,"6-311+G(2df,p)",0.9865,0.983,0.9886,10.1021/jp073974n
B3PW91,"6-311+G(d,p)",0.9858,0.9978,1.004,10.1021/jp073974n
B3PW91,"6-31G(2df,p)",0.9825,0.9815,0.9866,10.1021/jp073974n
B3PW91,6-31G(d),0.978,0.9899,0.9937,10.1021/jp073974n
B3PW91,pc-0,0.9835,0.9766,0.9531,10.1002/jcc.23073
B3PW91,pc-1,0.9832,1.028,1.029,10.1002/jcc.23073
B3PW91,pc-2,0.9851,1.026,1.025,10.1002/jcc.23073
B3PW91,pc-3,0.9861,1.026,1.025,10.1002/jcc.23073
B3PW91,pc-4,0.9861,1.026,1.025,10.1002/jcc.23073
B971,"6-31+G(d,p)",0.9859,1.0037,1.0074,10.1021/jp073974n
B971,"6-311+G(2df,p)",0.9899,0.9922,0.9968,10.1021/jp073974n
B971,"6-311+G(d,p)",0.9893,1.0072,1.0134,10.1021/jp073974n
B971,"6-31G(2df,p)",0.9859,0.9899,0.9939,10.1021/jp073974n
B971,6-31G(d),0.9817,0.9989,1.0017,10.1021/jp073974n
B972,"6-31+G(d,p)",0.976,0.9895,0.9943,10.1021/jp073974n
B972,"6-311+G(2df,p)",0.9809,0.9773,0.9827,10.1021/jp073974n
B972,"6-311+G(d,p)",0.9799,0.9922,0.9983,10.1021/jp073974n
B972,"6-31G(2df,p)",0.9768,0.9763,0.981,10.1021/jp073974n
B972,6-31G(d),0.9719,0.9847,0.9883,10.1021/jp073974n
B97-D,pc-0,1.023,0.9114,0.8848,10.1002/jcc.23073
B97-D,pc-1,1.012,0.949,0.9463,10.1002/jcc.23073
